,Date,ASPI,Banks_finance_insurance,trend,seasonal,residual
1323,2013-07-11,6062.38,13197.49,9.470895017029346,-0.056346324526274284,0.07323324647514837
1324,2013-07-12,6028.74,13172.27,9.470944844858264,-0.06102478932356969,0.0759490857775943
1325,2013-07-15,6015.2,13154.61,9.471038173165775,-0.06302011448567064,0.07650948783258656
1326,2013-07-16,6007.65,13148.34,9.471162259739051,-0.07124024994556571,0.0841287841025779
1327,2013-07-17,5982.35,13132.2,9.471317725885998,-0.0681953589559108,0.07970014154800723
1328,2013-07-18,5985.45,13055.7,9.471469588468622,-0.068005366098924,0.07351587662901611
1329,2013-07-19,6041.06,13113.4,9.47168585224831,-0.06707577501059586,0.07677980990839
1330,2013-07-23,6084.24,13201.33,9.47194713117888,-0.062144157043631125,0.07826988693926723
1331,2013-07-24,6079.14,13241.33,9.472208854905968,-0.06855712751056842,0.08744655022272319
1332,2013-07-25,6038.16,13175.02,9.472455616467748,-0.07576779950505397,0.0893900744722832
1333,2013-07-26,6051.77,13217.24,9.472699603276737,-0.07280249792303539,0.08938021167156396
1334,2013-07-29,6056.92,13132.03,9.47299618336069,-0.08022257885294592,0.09003595860701707
1335,2013-07-30,6055.48,13191.77,9.473300027246214,-0.07855775831901209,0.09260616035126919
1336,2013-07-31,6037.22,13184.63,9.473609722117722,-0.07703411944470834,0.09023143352873814
1337,2013-08-01,6156.6,13261.7,9.473910526648508,-0.07112055199470653,0.08984548599668159
1338,2013-08-02,6155.82,13203.76,9.474237888753342,-0.0632919018604963,0.07731092960483757
1339,2013-08-05,6114.18,13083.47,9.474583365582564,-0.06172089558630461,0.06624241035150086
1340,2013-08-06,6121.45,13105.47,9.474946298729979,-0.05652673050051369,0.06236541105891689
1341,2013-08-07,6151.79,13091.51,9.475336505888567,-0.04510644547121856,0.049489147066696826
1342,2013-08-08,6151.92,13084.35,9.475713264134779,-0.046099483355569924,0.04955835775057273
1343,2013-08-12,6130.24,13073.4,9.476101248771577,-0.027738561430670997,0.029972223167381244
1344,2013-08-13,6142.87,13115.36,9.476471763804001,-0.01735420305424469,0.022421780659808446
1345,2013-08-14,6208.67,13127.31,9.476811458514234,-0.032590629900989106,0.03822924336039619
1346,2013-08-15,6220.1,13044.22,9.477144498117593,-0.03394812623654679,0.032904030877961496
1347,2013-08-16,6233.21,13097.13,9.477466465508066,-0.03897746720156909,0.04165940291088261
1348,2013-08-19,6224.34,13033.2,9.477791796210145,-0.043953922638435894,0.041417353502281595
1349,2013-08-21,6116.67,12941.6,9.47813326024501,-0.055293940495625256,0.04536288826609975
1350,2013-08-22,6085.88,12902.93,9.478494142333806,-0.036680929349401904,0.023396483357786192
1351,2013-08-23,5951.83,12799.59,9.478856301249794,-0.03666430205828603,0.014976418953189415
1352,2013-08-26,5895.65,12759.32,9.479273893564145,-0.040407211986492865,0.01515058236503506
1353,2013-08-27,5923.34,12650.24,9.479756527948258,-0.03642519597925762,0.002100134338709904
1354,2013-08-28,5753.2,12320.98,9.480270186253865,-0.04309172524156224,-0.018119681633817497
1355,2013-08-29,5825.06,12500.56,9.4807662116329,-0.04372108183209498,-0.003516407513902496
1356,2013-08-30,5834.04,12599.57,9.481265970258402,-0.04695349245676261,0.00710548757146412
1357,2013-09-02,5782.72,12555.7,9.481780656474493,-0.04486548058098492,0.0010148488233529887
1358,2013-09-03,5752.36,12415.8,9.48233469925636,-0.044990969076988276,-0.010618596133532353
1359,2013-09-04,5744.89,12401.27,9.4828929092929,-0.04869515812083456,-0.008643585468602243
1360,2013-09-05,5686.99,12311.43,9.483460439682304,-0.046171609933214765,-0.019005451598375987
1361,2013-09-06,5672.64,12377.26,9.484046253506376,-0.042132508529788094,-0.018297547951216873
1362,2013-09-09,5605.26,12339.6,9.48464457033662,-0.04125629647611333,-0.022819391837361216
